date,anio,mes,dia,estacion,clase,CO,NO2,O3,PM10,PM2.5,temporada
2023-01-08 08:00:00,2023,1,8,NORTE2,0,0.89,23.25,10.5,41.89,17.735,invierno
2023-01-08 08:00:00,2023,1,8,SUR,0,1.165,13.1,21.0,51.25,14.9,invierno
2023-01-08 08:00:00,2023,1,8,SUROESTE2,0,1.21,17.6,9.5,57.0,26.5,invierno
2023-01-09 07:00:00,2023,1,9,CENTRO,1,1.09,19.8,13.0,48.0,,invierno
2023-01-09 07:00:00,2023,1,9,NORESTE3,0,0.7843333333333334,19.166666666666668,12.9,39.666666666666664,16.5,invierno
2023-01-09 07:00:00,2023,1,9,NOROESTE3,0,1.3133333333333332,16.599999999999998,13.333333333333334,48.0,14.58,invierno
2023-01-09 07:00:00,2023,1,9,NORTE2,1,0.7250000000000001,21.0,15.5,36.325,8.91,invierno
2023-01-09 07:00:00,2023,1,9,SUR,0,1.2825,26.2,15.75,39.75,10.145,invierno
2023-01-09 07:00:00,2023,1,9,SUROESTE2,1,1.05,19.299999999999997,11.0,47.0,22.5,invierno
2023-01-09 08:00:00,2023,1,9,CENTRO,1,1.22,28.2,9.0,56.0,,invierno
2023-01-09 08:00:00,2023,1,9,NORESTE3,0,0.8273333333333334,20.733333333333334,13.5,49.666666666666664,14.0,invierno
2023-01-09 08:00:00,2023,1,9,NOROESTE3,0,1.4266666666666667,20.433333333333334,9.0,39.5,17.13,invierno
2023-01-09 08:00:00,2023,1,9,NORTE2,1,0.9,26.2,13.5,47.879999999999995,12.96,invierno
2023-01-09 08:00:00,2023,1,9,SUR,0,1.4625,35.95,12.0,50.5,12.815000000000001,invierno
2023-01-09 08:00:00,2023,1,9,SUROESTE2,1,1.285,23.65,6.5,53.5,22.0,invierno
2023-01-10 07:00:00,2023,1,10,CENTRO,1,1.48,36.0,,121.0,51.95,invierno
2023-01-10 07:00:00,2023,1,10,NORESTE3,0,1.685,32.25,8.0,130.0,42.0,invierno
2023-01-10 07:00:00,2023,1,10,NOROESTE3,0,1.54,27.733333333333334,2.5,82.66666666666667,43.03,invierno
2023-01-10 07:00:00,2023,1,10,NORTE2,1,1.23,27.5,,106.39500000000001,31.814999999999998,invierno
2023-01-10 07:00:00,2023,1,10,SUR,0,1.7925,41.125,4.0,83.75,27.743333333333336,invierno
2023-01-10 07:00:00,2023,1,10,SUROESTE2,1,1.63,37.849999999999994,3.0,83.0,35.0,invierno
2023-01-10 08:00:00,2023,1,10,CENTRO,1,1.79,36.6,4.0,130.0,58.54,invierno
