date,estacion,franja_horaria,clase,CO,NO2,O3,PM10,PM2.5
2023-01-08,SUROESTE2,fuera_pico_10_12,0,1.25,20.35,12.75,66.0,25.75
2023-01-08,SUROESTE2,pico_7_9,0,1.185,17.325000000000003,10.5,54.0,25.25
2023-01-09,CENTRO,fuera_pico_10_12,1,1.39,27.7,18.0,73.0,33.040625
2023-01-09,CENTRO,pico_7_9,1,1.155,24.0,11.0,52.0,27.043864388684206
2023-01-09,NORESTE3,fuera_pico_10_12,0,1.0323333333333333,27.658333333333335,22.35,83.0,25.25
2023-01-09,NORESTE3,pico_7_9,0,0.8058333333333334,19.95,13.2,44.66666666666666,15.25
2023-01-09,NOROESTE3,fuera_pico_10_12,0,1.3883333333333334,19.4,19.5,68.16666666666666,28.905
2023-01-09,NOROESTE3,pico_7_9,0,1.37,18.516666666666666,11.166666666666668,43.75,15.855
2023-01-09,NORTE2,fuera_pico_10_12,1,1.4025,37.9,20.0,106.13,26.82
2023-01-09,NORTE2,pico_7_9,1,0.8125,23.6,14.5,42.102500000000006,10.935
2023-01-09,SUR,fuera_pico_10_12,0,1.41375,21.2125,21.125,60.375,11.775
2023-01-09,SUR,pico_7_9,0,1.3725,31.075000000000003,13.875,45.125,11.48
2023-01-09,SUROESTE2,fuera_pico_10_12,1,1.245,22.9,16.0,75.75,29.75
2023-01-09,SUROESTE2,pico_7_9,1,1.1675,21.475,8.75,50.25,22.25
2023-01-10,CENTRO,fuera_pico_10_12,1,1.635,38.349999999999994,14.0,112.5,48.269999999999996
2023-01-10,CENTRO,pico_7_9,1,1.635,36.3,3.9166666666666665,125.5,55.245000000000005
2023-01-10,NORESTE3,fuera_pico_10_12,0,2.0325,53.825,12.0,230.0,70.25
2023-01-10,NORESTE3,pico_7_9,0,2.0425,32.925,8.0,140.5,45.0
2023-01-10,NOROESTE3,fuera_pico_10_12,0,1.5483333333333333,26.333333333333332,17.833333333333336,116.16666666666666,34.32
2023-01-10,NOROESTE3,pico_7_9,0,1.6283333333333334,28.23333333333333,3.0,86.5,41.4225
2023-01-10,NORTE2,fuera_pico_10_12,1,2.0525,53.675,11.25,157.51999999999998,41.394999999999996
2023-01-10,NORTE2,pico_7_9,1,1.6225,28.125,8.625,109.36,31.8825
2023-01-10,SUR,fuera_pico_10_12,0,1.88375,34.55,12.75,148.625,31.775
2023-01-10,SUR,pico_7_9,0,2.08,41.9125,3.833333333333333,97.125,30.90833333333333
2023-01-10,SUROESTE2,fuera_pico_10_12,1,1.5474999999999999,37.825,15.75,130.25,31.0
2023-01-10,SUROESTE2,pico_7_9,1,1.8275,35.575,5.0,106.5,38.0
2023-01-11,CENTRO,fuera_pico_10_12,1,1.89,45.3,13.0,153.0,31.48
2023-01-11,CENTRO,pico_7_9,1,1.725,36.85,6.0,71.0,23.745
2023-01-11,NORESTE3,fuera_pico_10_12,0,1.615,44.525000000000006,15.75,193.5,43.25
2023-01-11,NORESTE3,pico_7_9,0,2.1925,38.625,8.5,147.25,45.75
2023-01-11,NOROESTE3,fuera_pico_10_12,0,1.3866666666666667,20.96666666666667,22.833333333333336,114.33333333333334,13.467500000000001
2023-01-11,NOROESTE3,pico_7_9,0,1.7850000000000001,35.43333333333333,3.4166666666666665,94.83333333333334,21.405
2023-01-11,NORTE2,fuera_pico_10_12,1,1.8125,53.849999999999994,13.0,139.2825,30.115000000000002
2023-01-11,NORTE2,pico_7_9,1,2.345,38.5,7.300000000000001,128.16,31.240000000000002
2023-01-11,SUR,fuera_pico_10_12,0,2.31875,41.5375,11.375,188.75,27.263333333333335
2023-01-11,SUR,pico_7_9,0,2.45875,49.425,4.75,114.125,19.966666666666665
2023-01-11,SUROESTE2,fuera_pico_10_12,1,1.415,31.025000000000002,19.5,150.5,23.0
2023-01-11,SUROESTE2,pico_7_9,1,2.08,36.95,8.0,82.75,26.5
2023-01-12,CENTRO,fuera_pico_10_12,1,1.275,13.8,30.5,176.0,12.36
2023-01-12,CENTRO,pico_7_9,1,1.365,25.75,15.0,117.0,22.595
2023-01-12,NORESTE3,fuera_pico_10_12,0,0.6363333333333333,8.333333333333332,33.35,167.66666666666666,14.25
2023-01-12,NORESTE3,pico_7_9,0,0.6581666666666668,10.383333333333333,26.75,398.8333333333333,32.0
2023-01-12,NOROESTE3,fuera_pico_10_12,0,1.2433333333333334,14.333333333333332,28.666666666666664,146.5,22.93
2023-01-12,NOROESTE3,pico_7_9,0,1.3183333333333334,17.53333333333333,21.5,276.16666666666663,20.237499999999997
2023-01-12,NORTE2,fuera_pico_10_12,1,0.6725000000000001,16.05,30.75,164.7125,9.665
2023-01-12,NORTE2,pico_7_9,1,0.7150000000000001,17.375,23.5,180.52,23.7
2023-01-12,SUR,fuera_pico_10_12,0,1.1925,10.6125,30.25,164.5,8.79
2023-01-12,SUR,pico_7_9,0,1.22875,14.462499999999999,21.625,193.0,18.086666666666666
2023-01-12,SUROESTE2,fuera_pico_10_12,1,1.07,15.825,27.0,154.5,14.25
